target_gene	probe_count	annotated_ensembl_isoform_count	matched_probe_count	unmatched_probe_count	hit_isoform_count	hit_isoforms	common_to_all_probes_count	common_to_all_probes	distinct_probe_isoform_sets	classification
AATK	5	16	5	0	15	ENST00000326724.9,ENST00000374792.6,ENST00000417379.6,ENST00000570932.5,ENST00000572339.5,ENST00000573441.1,ENST00000573469.1,ENST00000575363.1,ENST00000576053.1,ENST00000650574.1,ENST00000867059.2,ENST00001055851.1,ENST00001055852.1,ENST00001126497.1,ENST00001142819.1	7	ENST00000326724.9,ENST00000417379.6,ENST00000867059.2,ENST00001055851.1,ENST00001055852.1,ENST00001126497.1,ENST00001142819.1	5	multiple_isoforms_differential_probe_coverage
ABL1	5	9	5	0	8	ENST00000318560.6,ENST00000372348.9,ENST00000929253.1,ENST00000929254.1,ENST00000929255.2,ENST00001067205.1,ENST00001067206.1,ENST00001067207.1	8	ENST00000318560.6,ENST00000372348.9,ENST00000929253.1,ENST00000929254.1,ENST00000929255.2,ENST00001067205.1,ENST00001067206.1,ENST00001067207.1	1	multiple_isoforms_same_probe_coverage
ABL2	5	14	5	0	14	ENST00000344730.8,ENST00000367623.8,ENST00000502732.6,ENST00000504324.1,ENST00000504405.5,ENST00000507173.5,ENST00000508127.1,ENST00000509520.5,ENST00000511413.5,ENST00000512653.6,ENST00000659126.1,ENST00000660584.1,ENST00000662960.1,ENST00000668691.1	8	ENST00000344730.8,ENST00000367623.8,ENST00000502732.6,ENST00000504405.5,ENST00000507173.5,ENST00000511413.5,ENST00000512653.6,ENST00000668691.1	4	multiple_isoforms_differential_probe_coverage
ACE	5	33	5	0	26	ENST00000290863.11,ENST00000290866.10,ENST00000413513.8,ENST00000428043.6,ENST00000577418.5,ENST00000578839.5,ENST00000579204.1,ENST00000579314.5,ENST00000579726.5,ENST00000582005.5,ENST00000582244.1,ENST00000582678.5,ENST00000582761.1,ENST00000584865.5,ENST00000884274.2,ENST00000884275.2,ENST00000884276.2,ENST00000884277.2,ENST00000884278.2,ENST00000884279.2,ENST00000884280.2,ENST00000884281.2,ENST00000953328.2,ENST00001038909.1,ENST00001108863.1,ENST00001135621.1	13	ENST00000290863.11,ENST00000290866.10,ENST00000413513.8,ENST00000428043.6,ENST00000579314.5,ENST00000884274.2,ENST00000884277.2,ENST00000884278.2,ENST00000884279.2,ENST00000884280.2,ENST00000884281.2,ENST00000953328.2,ENST00001135621.1	5	multiple_isoforms_differential_probe_coverage
ACE2	5	19	5	0	19	ENST00000252519.8,ENST00000427411.2,ENST00000471548.5,ENST00000473851.1,ENST00000677282.1,ENST00000678046.2,ENST00000678073.1,ENST00000679162.2,ENST00000679212.2,ENST00000679278.2,ENST00000680121.1,ENST00000871928.2,ENST00000871929.2,ENST00000871930.2,ENST00000871931.2,ENST00000954330.2,ENST00000954331.2,ENST00001016425.1,ENST00001016427.1	16	ENST00000252519.8,ENST00000427411.2,ENST00000678046.2,ENST00000678073.1,ENST00000679162.2,ENST00000679212.2,ENST00000679278.2,ENST00000680121.1,ENST00000871928.2,ENST00000871929.2,ENST00000871930.2,ENST00000871931.2,ENST00000954330.2,ENST00000954331.2,ENST00001016425.1,ENST00001016427.1	3	multiple_isoforms_differential_probe_coverage
ACKR1	5	8	5	0	8	ENST00000368121.6,ENST00000368122.4,ENST00000435307.2,ENST00000714112.2,ENST00000851528.2,ENST00000960790.2,ENST00000960791.2,ENST00000960792.2	7	ENST00000368121.6,ENST00000368122.4,ENST00000435307.2,ENST00000851528.2,ENST00000960790.2,ENST00000960791.2,ENST00000960792.2	2	multiple_isoforms_differential_probe_coverage
ACKR3	5	10	5	0	10	ENST00000272928.4,ENST00000447924.1,ENST00000929731.2,ENST00000946093.2,ENST00000946094.2,ENST00000946095.2,ENST00000946096.2,ENST00000946097.1,ENST00000946098.2,ENST00001142521.1	9	ENST00000272928.4,ENST00000929731.2,ENST00000946093.2,ENST00000946094.2,ENST00000946095.2,ENST00000946096.2,ENST00000946097.1,ENST00000946098.2,ENST00001142521.1	2	multiple_isoforms_differential_probe_coverage
ACKR4	5	5	5	0	5	ENST00000249887.3,ENST00000509820.1,ENST00000878670.2,ENST00000964709.2,ENST00001145271.1	4	ENST00000249887.3,ENST00000878670.2,ENST00000964709.2,ENST00001145271.1	2	multiple_isoforms_differential_probe_coverage
ACTA2	5	45	5	0	45	ENST00000224784.10,ENST00000415557.3,ENST00000458159.7,ENST00000480297.6,ENST00000482085.2,ENST00000488967.5,ENST00000713597.2,ENST00000713598.2,ENST00000713599.2,ENST00000713600.2,ENST00000713601.2,ENST00000713602.2,ENST00000713603.1,ENST00000903375.2,ENST00000903376.2,ENST00000903377.2,ENST00000946937.2,ENST00000946938.2,ENST00000946939.2,ENST00000946940.2,ENST00000946941.2,ENST00000946942.2,ENST00000946943.2,ENST00000946944.2,ENST00000946945.2,ENST00000946946.2,ENST00000946947.2,ENST00000946948.2,ENST00000946949.2,ENST00000946950.2,ENST00000946951.2,ENST00000946952.2,ENST00000946953.2,ENST00001007111.1,ENST00001013881.1,ENST00001013892.1,ENST00001013897.1,ENST00001013903.1,ENST00001092789.1,ENST00001092790.1,ENST00001092791.1,ENST00001092792.1,ENST00001092793.1,ENST00001124794.1,ENST00001142517.1	36	ENST00000224784.10,ENST00000415557.3,ENST00000458159.7,ENST00000480297.6,ENST00000713597.2,ENST00000713598.2,ENST00000713599.2,ENST00000713600.2,ENST00000713602.2,ENST00000713603.1,ENST00000903375.2,ENST00000903377.2,ENST00000946937.2,ENST00000946938.2,ENST00000946939.2,ENST00000946940.2,ENST00000946941.2,ENST00000946942.2,ENST00000946943.2,ENST00000946944.2,ENST00000946945.2,ENST00000946947.2,ENST00000946948.2,ENST00000946949.2,ENST00000946950.2,ENST00000946951.2,ENST00000946952.2,ENST00000946953.2,ENST00001013881.1,ENST00001013892.1,ENST00001013897.1,ENST00001013903.1,ENST00001092789.1,ENST00001092792.1,ENST00001124794.1,ENST00001142517.1	5	multiple_isoforms_differential_probe_coverage
ACTG2	5	38	5	0	38	ENST00000345517.8,ENST00000409624.2,ENST00000409731.7,ENST00000409918.6,ENST00000429756.5,ENST00000438902.6,ENST00000442912.5,ENST00000468543.5,ENST00000473016.1,ENST00000880127.2,ENST00000880128.2,ENST00000880129.2,ENST00000880130.2,ENST00000880131.2,ENST00000880132.2,ENST00000958362.2,ENST00000958363.2,ENST00000958364.2,ENST00000958365.2,ENST00000958366.2,ENST00000958367.2,ENST00000958368.2,ENST00000958369.2,ENST00000958370.2,ENST00000958371.2,ENST00000958372.2,ENST00000958373.2,ENST00001002269.1,ENST00001002270.1,ENST00001019386.1,ENST00001019387.1,ENST00001098411.1,ENST00001098412.1,ENST00001098413.1,ENST00001112653.1,ENST00001126380.1,ENST00001129169.1,ENST00001140083.1	22	ENST00000345517.8,ENST00000409624.2,ENST00000409731.7,ENST00000880128.2,ENST00000880129.2,ENST00000880130.2,ENST00000880131.2,ENST00000880132.2,ENST00000958362.2,ENST00000958363.2,ENST00000958364.2,ENST00000958365.2,ENST00000958366.2,ENST00000958367.2,ENST00000958368.2,ENST00000958369.2,ENST00000958370.2,ENST00000958371.2,ENST00000958372.2,ENST00000958373.2,ENST00001098411.1,ENST00001140083.1	5	multiple_isoforms_differential_probe_coverage
